,index,cases,adj_births,target_pop,mcv1,mcv2,births,sia,Z_t,I_t,low_I,mid_I,high_I,low_S,mid_S,high_S
145,2018-01-31,4.0,10076.412405489506,0.0,0.89,0.4125,50635.23821854024,0.0,-539963.072203021,2604.179553508083,904.6746460791792,1840.4315454448804,3347.562312244864,1171644.9402295249,1233532.7672460116,1294259.9738362876
146,2018-02-15,12.5,10056.489227750653,0.0,0.89,0.4166666666666667,50535.12174749073,0.0,-536939.5677697423,7032.984794471824,1457.4617350072303,2938.60445768707,5349.496962872012,1178562.2357354234,1240650.6520160802,1301191.936584628
147,2018-02-28,19.0,10036.564676080921,0.0,0.89,0.42083333333333334,50434.998372265945,0.0,-537322.7213076935,10419.718214032331,3192.71516503215,6427.167885004274,11723.56068294109,1182538.4695048893,1244260.0488071525,1304589.2081744736
148,2018-03-15,30.833333333333332,10016.638750480312,0.0,0.89,0.425,50334.8680928659,0.0,-543891.392381215,16585.30982400146,4491.483710320413,9191.812709399686,16727.856316839665,1184059.5732519296,1245084.8748482324,1304804.313877305
149,2018-03-31,36.166666666666664,9996.711450948824,0.0,0.89,0.4291666666666667,50234.730909290585,0.0,-553258.8489446763,19364.16801441008,7295.834213448697,14699.181664678514,26643.34034316521,1178413.4285428177,1240382.404634507,1300339.119881232
150,2018-04-15,29.5,9976.78277748646,0.0,0.89,0.43333333333333335,50134.58682154001,0.0,-559172.661443589,15890.595276399305,7696.624334905105,15788.074676816363,28494.17609144885,1172566.8742245864,1234571.1127351748,1294697.5909652286
151,2018-04-30,17.5,9956.85273009322,0.0,0.89,0.4375,50034.43582961418,0.0,-558853.9730614759,9638.164347979906,6481.9824215434855,13049.382237842221,23622.68598118437,1169692.1664587134,1231478.5832274244,1291791.8359011384
152,2018-05-15,4.166666666666667,9936.921308769104,0.0,0.89,0.44166666666666665,49934.2779335131,0.0,-551608.0706246649,2691.0188719583525,3547.416299507897,7208.762630856608,13022.391170347128,1173082.9219558276,1234206.7419053353,1293685.7310330858
153,2018-05-31,2.8333333333333335,9916.988513514105,0.0,0.89,0.44583333333333336,49834.11313323672,0.0,-543687.3864355071,1996.304324356197,1157.9145931266312,2356.096417167351,4292.877719953207,1180705.0976521322,1241767.6340016925,1301125.7412415168
154,2018-06-15,5.166666666666667,9897.054344328235,0.0,0.89,0.45,49733.94142878511,0.0,-537002.3868738385,3212.054782659969,1087.4279396120846,2198.1530990450146,3996.1184069264064,1188457.2242181676,1249466.535246971,1308658.7638725906
155,2018-06-30,8.833333333333334,9886.809446093594,0.0,0.89,0.45166666666666666,49682.45952810852,0.0,-532238.0972163109,5122.519788565896,1716.1250275665175,3485.7897407650485,6348.889820406892,1194475.370708952,1255867.5549522978,1314839.8530292492
156,2018-07-15,20.0,9876.568051837028,0.0,0.89,0.45333333333333337,49630.99523536196,0.0,-533302.2832892078,10940.754124733947,2450.3545626553446,4936.531726855077,8824.030794547964,1199860.026151346,1260807.5912772862,1319783.8473275243
157,2018-07-31,27.5,9866.33016155855,0.0,0.89,0.455,49579.548550545485,0.0,-538284.4765826457,14848.523454996071,4520.955988102931,9221.002088819427,16806.60484468246,1200284.498335798,1261452.9193500194,1320805.9221322848
158,2018-08-15,43.666666666666664,9856.09577525814,0.0,0.89,0.45666666666666667,49528.119473659004,0.0,-551700.3181520596,23271.937344672206,5261.564045884336,10596.518599791994,19086.820433316123,1199838.4076279195,1260712.4965254895,1319981.3027610255
159,2018-08-31,52.333333333333336,9845.864892935819,0.0,0.89,0.4583333333333333,49476.70800470262,0.0,-569642.0351632098,27787.58190408622,10343.103515708654,21127.287092826213,38349.53829971209,1187979.5620531365,1249431.0743255902,1309474.0590947024
160,2018-09-15,68.16666666666667,9835.637514591568,0.0,0.89,0.46,49425.31414367623,0.0,-595843.7148054801,36037.31715686181,11409.673661810497,23457.972326253337,42149.1996472895,1173793.3417967833,1235808.7395139332,1297158.8185952753
161,2018-09-30,75.33333333333333,9825.413640225397,0.0,0.89,0.46166666666666667,49373.937890579895,0.0,-625789.7090154781,39771.4078502234,14734.000866924947,29746.66018482396,53743.80412586625,1151464.180701726,1215887.4929693341,1279234.6180587418
162,2018-10-15,82.0,9815.193269837313,0.0,0.89,0.4633333333333333,49322.579245413646,0.0,-659219.4963338751,43244.980588234175,15649.2432365612,31850.74050237215,57912.922613484756,1127744.5328908728,1193851.9457367945,1257618.732453533
