,index,cases,adj_births,target_pop,mcv1,mcv2,births,sia,Z_t,I_t,low_I,mid_I,high_I,low_S,mid_S,high_S
20,2014-11-15,12.0,15980.939602227858,0.0,0.45416666666666666,0.0,27029.073323006945,0.0,-606396.9377560667,2790.4612138552393,1135.2297996551338,2426.4021994872924,4564.177753537455,1684343.9758584818,1749963.145735963,1802737.444222846
21,2014-11-30,12.0,15983.015687587822,0.0,0.45458333333333334,0.0,27049.74095635764,0.0,-593204.3832823341,2790.4612138552393,1084.5254267059647,2333.650693815639,4443.551766726414,1697793.1133308525,1763612.5107297257,1816557.779217209
22,2014-12-15,12.0,15985.076272222772,0.0,0.455,0.0,27070.408589708335,0.0,-580009.7682239665,2790.4612138552393,1071.5462567764096,2329.832270637135,4352.432059877058,1711755.6722260492,1777267.7547313117,1830052.2239130137
23,2014-12-31,12.0,15987.121356132708,0.0,0.4554166666666667,0.0,27091.076223059026,0.0,-566813.1080816891,2790.4612138552393,1081.6538001246104,2364.292697574104,4536.5916819347285,1725177.6556066591,1790890.583389866,1843596.2225236513
24,2015-01-15,12.0,15989.150939317633,0.0,0.45583333333333337,0.0,27111.74385640972,0.0,-553614.4183562265,2790.4612138552393,1614.7762395089376,3521.4207748218446,6580.790347908301,1737691.0844194544,1803358.3135543724,1856041.7263086862
25,2015-01-31,12.0,15991.165021777544,0.0,0.45625000000000004,0.0,27132.411489760416,0.0,-540413.7145483044,2790.4612138552393,1541.6413924851133,3293.7565835168316,6335.836941946485,1750492.7317845833,1816055.721992632,1868554.0722168454
26,2015-02-15,16.0,15993.163603512443,0.0,0.45666666666666667,0.0,27153.07912311111,0.0,-528069.923301372,3649.3723565799287,1753.1432400570495,3751.3834085419953,7099.355677327679,1763329.4417896476,1828297.502187604,1880947.3103243748
27,2015-02-28,20.0,15995.14668452233,0.0,0.45708333333333334,0.0,27173.746756461805,0.0,-516583.0601161544,4508.283499304617,1810.5459774903904,3900.3631688497285,7413.0411289141275,1775370.634504185,1840392.2857032744,1892656.1188655288
28,2015-03-15,38.333333333333336,15997.114264807202,0.0,0.4575,0.0,27194.4143898125,0.0,-509030.9054214731,8444.95957012611,2260.0843007476224,4822.498418887407,9052.150956515601,1786720.3762382313,1851566.9015491905,1904123.6172795757
29,2015-03-31,52.666666666666664,15999.066344367062,0.0,0.4579166666666667,0.0,27215.082023163195,0.0,-504554.563575329,11522.724498222911,3679.829543793671,7816.3657509381355,14933.416082366548,1794915.6667133379,1859749.6021426201,1912280.8120175134
30,2015-04-15,55.0,16001.002923201906,0.0,0.45833333333333337,0.0,27235.749656513886,0.0,-500577.3166502728,12023.755998145647,4836.794949958393,10577.671907100372,20038.1396602617,1800926.2434804817,1865172.933158727,1917878.3197956716
31,2015-04-30,43.0,16002.924001311743,0.0,0.45875,0.0,27256.41728986458,0.0,-494021.4152189323,9447.02256997158,4614.192963750973,9905.646277813286,18554.03397220825,1805993.5637059165,1871270.210882225,1924561.766934184
32,2015-05-15,30.666666666666668,16004.829578696563,0.0,0.45916666666666667,0.0,27277.084923215276,0.0,-484815.2988534733,6798.713213237122,3052.499389786377,6595.485064971876,12373.60634248331,1815072.7966743368,1880679.5553959496,1933675.6700013974
33,2015-05-31,30.333333333333332,16006.71965535637,0.0,0.45958333333333334,0.0,27297.75255656597,0.0,-475535.7164827937,6727.137284676731,2903.2444429410016,6260.595587207092,11719.700981601038,1825338.725874565,1890425.67946409,1943400.2809563966
34,2015-06-15,24.0,16008.594231291165,0.0,0.46,0.0,27318.420189916666,0.0,-464894.3168935315,5367.194642029307,2418.1260265747537,5116.082023259189,9607.967715460401,1835973.8868022393,1901318.191672128,1954497.579320123
35,2015-06-30,18.0,16108.65065618939,0.0,0.45625000000000004,0.0,27331.750848253472,0.0,-452864.4941652843,4078.827927942273,2083.4716814789163,4470.713655362205,8620.616173740473,1847845.214931554,1912956.1286729614,1966042.162102178
36,2015-07-15,10.833333333333334,16208.797063031385,0.0,0.4525,0.0,27345.081506590275,0.0,-439195.64256614656,2539.945463893872,1308.2368093418422,2841.984732188107,5347.1737039220825,1861201.7193100825,1926322.9410037876,1979495.429694518
37,2015-07-31,9.666666666666666,16309.033451817157,0.0,0.44875000000000004,0.0,27358.412164927082,0.0,-425176.0388282621,2289.429713932504,959.9984067286725,2077.1695711694356,3961.541217689363,1875422.3919804445,1940554.8048844433,1993683.0746383192
38,2015-08-15,8.0,16409.3598225467,0.0,0.445,0.0,27371.74282326389,0.0,-410698.22907684627,1931.5500711305504,1079.6858534862113,2302.529114634037,4326.580056620426,1889162.1816803247,1954661.6355923598,2007748.6809843043
39,2015-08-31,7.5,16509.776175220017,0.0,0.44125000000000003,0.0,27385.073481600695,0.0,-396012.6390799163,1824.1861782899643,950.659809750479,2087.2018054840946,3933.5112349583583,1903546.4465033414,1969084.2099620888,2022139.09280686
40,2015-09-15,7.166666666666667,16610.282509837107,0.0,0.4375,0.0,27398.4041399375,0.0,-381154.9668198088,1752.6102497295738,908.2700478005538,1978.9702254746228,3738.6758092735026,1918541.5479682786,1983715.5222464576,2036633.5200043065
41,2015-09-30,7.333333333333333,16710.878826397973,0.0,0.43375,0.0,27411.734798274305,0.0,-366232.4862074205,1788.3982140097687,888.834722393789,1879.0617825082156,3549.887555972878,1933522.6942924103,1998547.339290353,2051500.6181788736
42,2015-10-15,6.666666666666667,16811.565124902612,0.0,0.43,0.0,27425.06545661111,0.0,-351066.16743940674,1645.2463568889875,950.9951479872094,2057.2774886100856,3889.0758391107083,1948062.0087386745,2013301.6269266484,2066105.1699538399
43,2015-10-31,5.833333333333333,16912.341405351017,0.0,0.42625,0.0,27438.396114947915,0.0,-335620.1325695438,1466.3065354880105,816.3606800695566,1802.6382617277636,3418.754211090911,1963427.8972122066,2028411.3300702698,2081339.706079161
44,2015-11-15,3.8333333333333335,17013.207667743205,0.0,0.4225,0.0,27451.72677328472,0.0,-319643.7758659264,1036.850964125666,723.7396997284554,1552.2157723163675,2933.6073845073,1978683.1213212796,2043872.3219656968,2096793.8779966722
45,2015-11-30,2.6666666666666665,17114.163912079162,0.0,0.41875,0.0,27465.057431621528,0.0,-303315.94716801145,786.3352141642982,494.5957358205888,1070.3003093952527,2032.2271009349647,1994655.3644836638,2059916.1855683776,2112862.307209329
46,2015-12-15,2.1666666666666665,17215.210138358892,0.0,0.41500000000000004,0.0,27478.38808995833,0.0,-286779.708350976,678.9713213237121,374.2189231851164,813.4618912259879,1537.1878430436366,2011163.6031239645,2076317.933815509,2129198.0639583194
