,country,time,rel_reff,rel_reff_err
86,nigeria,2012-07-31,-0.30585444644745685,0.13780307978633652
87,nigeria,2012-08-15,-0.1605922664814099,0.1562316858592076
88,nigeria,2012-08-31,-0.20810971117167476,0.14850907181856884
89,nigeria,2012-09-15,-0.1093403704992073,0.16118802267431162
90,nigeria,2012-09-30,-0.06186781433288879,0.16779909331553597
91,nigeria,2012-10-15,-0.048696200336399764,0.1701493107931262
92,nigeria,2012-10-31,-0.05271956344360995,0.17030720258321144
93,nigeria,2012-11-15,-0.11577789155295815,0.16184364014258537
94,nigeria,2012-11-30,-0.2442817818915043,0.14298915795817538
95,nigeria,2012-12-15,-0.23249205936456585,0.1430173701355548
96,pakistan,2012-12-31,0.6280090902834974,0.20821708526589236
97,pakistan,2012-01-15,0.3271489289524392,0.1797141778316222
98,pakistan,2012-01-31,0.27505009763078947,0.17720940134912058
